County Name,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duplin,"48,754",52,0.50%,52,-13.00%,92,"-7,312",99,35.57,94,35.63,93,26.20%,4,26.50%,3,15.40%,89,15.40%,89,6.30%,49,6.50%,47,41.60%,90,38.00%,85,21.20%,99,21.60%,99,13.00%,48,13.60%,33,177,97,104,79,35.8,41,21,43,64.10%,52,64.10%,52,13.20%,43,34.90%,80,39.90%,94,67.50%,89,68.70%,85,55.70%,87,45.90%,87,28.40%,76,26.90%,76,"51,968",29,"44,729",44,58.40%,64,56.90%,66,80.90%,38,80.70%,31,3.40%,43,3.60%,49,852,60,792,62,0.735,68,0.735,68,741.4,60,710,64,"100,876",65,"96,599",64,7.00%
Durham,"337,195",6,3.10%,6,17.10%,13,"49,197",5,35.19,95,35.06,95,22.50%,15,22.60%,15,13.70%,96,13.40%,96,4.60%,95,4.60%,95,23.70%,22,21.80%,23,13.50%,49,14.00%,47,9.60%,8,11.30%,9,410,77,"1,317",10,33.6,33,108,92,31.80%,94,31.80%,94,7.80%,11,70.10%,3,74.50%,5,86.90%,13,86.40%,13,97.90%,10,30.90%,22,19.30%,34,16.20%,20,"60,330",10,"55,464",10,69.60%,32,67.60%,37,71.40%,5,75.40%,5,3.10%,18,3.10%,6,1659,1,1600,1,0.7522,74,0.7222,62,1070.2,13,1036.5,14,"148,188",27,"143,516",27,7.50%
Edgecombe,"47,122",54,0.40%,54,-13.40%,93,"-7,269",98,44.98,29,44.78,29,23.10%,11,23.20%,10,23.90%,28,23.30%,30,5.70%,71,5.80%,71,51.70%,98,47.60%,98,11.40%,8,12.10%,11,14.30%,79,16.50%,86,678,33,349,49,48.6,70,25,53,59.60%,57,59.60%,58,17.00%,75,36.10%,73,48.40%,76,67.60%,88,64.40%,95,66.80%,75,45.00%,80,33.00%,91,45.40%,99,"45,069",72,"40,755",75,52.30%,73,52.00%,76,81.50%,48,81.40%,39,5.50%,99,6.10%,100,845,67,829,43,0.95,97,0.95,98,690.5,70,690.1,67,"72,688",96,"72,637",95,7.00%
Forsyth,"388,365",4,3.60%,4,7.70%,33,"27,719",12,38.27,85,38.15,85,21.50%,26,21.70%,25,17.40%,84,17.10%,84,5.80%,66,5.90%,66,28.70%,46,26.00%,41,12.20%,18,14.20%,51,11.60%,23,13.00%,25,378,80,"1,444",8,39,47,149,96,30.20%,95,30.70%,95,11.80%,25,54.00%,17,63.20%,24,82.20%,25,81.50%,25,99.40%,3,33.90%,38,19.90%,38,18.80%,33,"56,378",16,"52,167",17,76.70%,17,77.00%,16,79.20%,30,80.90%,35,3.50%,52,3.60%,50,1202,5,1138,6,0.6778,57,0.6778,55,777.7,53,760.5,47,"114,744",52,"112,200",49,7.00%
Franklin,"75,698",37,0.70%,37,22.80%,6,"14,066",19,42.12,58,42.02,59,20.50%,39,20.70%,39,19.00%,72,18.70%,72,4.80%,94,5.00%,94,25.70%,29,23.60%,29,14.60%,68,13.80%,45,10.30%,13,11.80%,13,413,75,288,54,34.4,36,24,51,45.70%,79,45.20%,79,17.60%,81,46.40%,33,61.20%,30,78.20%,44,76.60%,50,73.80%,63,32.60%,29,17.40%,20,16.40%,22,"44,996",74,"41,482",71,31.00%,95,31.50%,94,82.60%,58,83.70%,68,3.50%,57,3.60%,48,973,23,931,19,0.785,79,0.785,76,768,54,746.1,49,"97,836",68,"93,844",69,6.75%
Gaston,"241,175",10,2.20%,10,14.60%,17,"30,791",10,40.88,67,40.82,66,21.10%,29,21.30%,31,17.20%,85,17.00%,85,5.50%,78,5.60%,77,30.40%,55,27.90%,54,12.90%,36,13.90%,46,12.30%,36,14.00%,43,623,40,"1,399",9,31.6,28,71,83,66.70%,47,66.70%,47,14.00%,53,48.10%,26,58.30%,39,79.00%,38,77.30%,43,97.50%,13,33.30%,32,19.60%,35,16.10%,19,"48,508",46,"44,739",43,56.40%,67,55.00%,68,82.60%,58,84.70%,81,3.30%,42,3.50%,40,957,27,903,26,0.61,39,0.81,82,748.3,58,753,48,"92,382",75,"90,721",72,7.00%
Gates,"10,247",96,0.10%,96,-10.40%,89,"-1,189",75,43.28,44,43.57,41,17.40%,77,17.60%,77,22.90%,33,22.50%,33,7.40%,27,7.60%,27,25.50%,28,24.20%,31,10.70%,3,11.80%,7,11.60%,23,12.70%,20, Data is unavailable. ,, Data unavailable ,,43.2,59,5,15,141.40%,2,141.40%,2,12.60%,33,25.80%,98,50.50%,70,77.00%,49,77.00%,47,53.30%,88,31.40%,24,20.70%,41,19.70%,42,"50,100",36,"45,113",38,26.70%,98,26.30%,97,83.50%,77,88.60%,98,3.40%,46,3.50%,37,852,60,779,73,0.84,90,0.84,88,816.6,43,740.6,52,"97,216",70,"93,751",70,6.75%
Graham,"8,067",98,0.10%,98,-6.40%,80,-548,65,43.93,37,44.08,34,21.00%,30,21.30%,30,25.30%,20,25.30%,21,6.20%,55,6.30%,56,38.90%,83,35.80%,83,18.30%,94,19.00%,93,15.00%,90,16.70%,90,983,8,83,83,35.5,39,3,7,84.40%,30,77.80%,34,15.40%,61,35.40%,76,60.10%,31,66.60%,93,67.40%,89,38.10%,95,41.90%,75,27.60%,73,23.80%,64,"43,178",86,"39,698",88,74.40%,23,74.10%,21,82.60%,58,84.40%,75,4.30%,80,4.90%,92,841,71,792,62,0.59,34,0.65,45,982.5,19,969.1,19,"151,149",24,"149,100",23,7.00%
Granville,"62,776",46,0.60%,46,9.20%,26,"5,285",32,43.82,38,43.71,39,18.30%,71,18.50%,71,19.10%,70,18.60%,73,4.80%,92,5.00%,93,25.00%,25,22.90%,26,13.10%,41,13.20%,31,10.20%,11,11.30%,9,475,63,287,55,43,57,26,55,77.00%,34,77.90%,33,18.30%,86,44.60%,41,62.40%,25,83.10%,22,82.40%,22,67.30%,74,33.50%,34,16.70%,17,15.40%,16,"46,504",64,"43,069",54,45.60%,85,44.70%,82,82.00%,54,83.90%,71,3.00%,10,3.10%,4,1030,11,967,13,0.84,90,0.84,88,725.6,65,722.2,59,"86,380",87,"85,978",81,6.75%
Greene,"20,120",79,0.20%,79,-3.10%,70,-643,66,42.44,53,42.19,57,19.80%,52,20.10%,48,19.10%,71,18.70%,70,4.50%,97,4.50%,97,31.70%,63,29.80%,66,20.60%,98,20.70%,98,13.60%,64,14.90%,64,380,79,80,84,23.7,20,5,15,64.20%,51,64.20%,51,20.50%,91,32.50%,86,38.20%,97,71.00%,80,70.20%,80,41.50%,94,48.00%,93,31.80%,89,29.70%,85,"39,564",99,"35,457",100,35.50%,91,34.40%,92,85.50%,90,84.50%,77,2.90%,7,3.30%,16,840,72,763,82,0.786,81,0.786,78,512.7,99,497.2,100,"65,232",100,"63,263",100,7.00%
